time,delaytime,throughput,
205.14,0,0,
247.881,0,1,
755.762,30.5239,2,
850.36,59.1395,3,
1003.66,78.5656,4,
1138.13,73.6165,5,
1521.92,79.9186,6,
1904.59,90.5852,7,
2132.17,100.439,8,
2150.49,100.439,9,
2359.94,92.7133,10,
2518.21,90.0585,11,
2792.27,90.0585,12,
2996.29,78.8011,13,
2996.71,78.8011,14,
3403.19,74.1658,15,
3448.89,66.3589,16,
3536.16,66.3589,17,
3609.63,66.3589,18,
4259.93,57.3099,19,
4285.58,57.3099,20,
4490.17,50.4327,21,
4646.45,48.6085,22,
4834.6,48.444,23,
5157.99,48.444,24,
5182.38,47.8096,25,
5271.18,47.8096,26,
5496.28,46.161,27,
5652.35,44.6223,28,
5852.81,44.6223,29,
6313.82,40.5657,30,
6347.24,41.5647,31,
6552.29,42.3989,32,
6611.56,42.3989,33,
6849.05,44.049,34,
6865.84,44.049,35,
7049.44,42.9195,36,
7071.04,42.9195,37,
7247.39,42.4771,38,
7587.03,41.9053,39,
7818.27,44.9797,40,
7837.42,44.9797,41,
7985.83,48.4205,42,
8158.22,47.3903,43,
8250.02,47.3903,44,
8375.68,46.403,45,
8458.07,47.17,46,
291.334,0,0,
507.257,0,1,
787.173,0,2,
1037,0,3,
1305.99,0,4,
1333.24,0,5,
1701.21,0,6,
1753.27,0,7,
1877.87,0,8,
1976.77,0,9,
2237.12,0,10,
2508.66,0,11,
2695.18,0,12,
2819.28,0,13,
3057.26,0,14,
3076.78,0,15,
3164.68,0,16,
3494.27,0,17,
4000.66,0,18,
4099.34,0,19,
4175.31,0,20,
4354.15,0,21,
4440.94,0,22,
4656.74,0,23,
4838.62,0,24,
4887.86,0,25,
5215.78,0,26,
5322.99,0,27,
5487.78,0,28,
5826.22,0,29,
5854.55,0,30,
5970.39,0,31,
6451.03,3.81859,32,
6813.25,10.3743,33,
6950.38,18.5918,34,
7072,18.1151,35,
7175.56,18.1151,36,
7488.01,26.4266,37,
7570.77,26.4266,38,
7823.37,33.7778,39,
7987.89,44.475,40,
8068.71,44.475,41,
8124.47,46.4032,42,
8519.59,46.4032,43,
233.939,0,0,
276.072,0,1,
