time,delaytime,throughput,
201.853,0,0,
221.491,0,1,
336.372,0,2,
570.272,0,3,
1188.41,0,4,
1444.31,0,5,
1778.51,0,6,
2170.47,0,7,
2917.12,55.0017,8,
2990.7,55.0017,9,
3148.13,122.997,10,
3314.45,122.997,11,
3392.27,155.532,12,
3588.82,185.001,13,
3727.81,185.001,14,
4130.61,217.506,15,
4183.18,217.506,16,
4403.2,223.343,17,
4527.98,232.732,18,
5049.78,232.732,19,
5167.55,269.54,20,
5208.87,280.324,21,
5590.39,290.628,22,
5663.65,290.526,23,
5894.06,290.526,24,
6318.26,307.529,25,
6375.99,312.033,26,
6464.7,312.033,27,
6478.58,312.033,28,
6702.32,315.174,29,
6821.55,318.496,30,
7089.45,325.091,31,
7090.72,325.091,32,
7146.93,323.806,33,
7172.58,323.806,34,
7312.31,314.527,35,
7508.87,314.527,36,
7635.6,311.089,37,
7807.97,299.881,38,
7947.6,293.648,39,
8087.47,288.131,40,
8405.33,288.131,41,
8502.22,285.024,42,
294.792,0,0,
436.532,0,1,
940.584,0,2,
1264.88,0,3,
1499.58,0,4,
1540.45,0,5,
1723.06,7.16445,6,
2063.06,5.86182,7,
2131.47,5.37334,8,
2163.78,5.37334,9,
2824.17,20.7675,10,
2884.97,29.1878,11,
3149.53,29.1878,12,
3264.12,47.7785,13,
3319.01,51.9057,14,
3440.94,49.5986,15,
3691.38,49.6979,16,
3847.05,50.9776,17,
3851.96,50.9776,18,
4042.27,50.9776,19,
4070.24,48.6605,20,
4131.31,48.6605,21,
4472.55,42.8212,22,
4511.86,42.8212,23,
4572.1,41.1742,24,
4701.34,41.1742,25,
4878.47,38.2332,26,
5034.52,35.6843,27,
5279.68,35.6843,28,
5296.52,35.6843,29,
5563.26,33.4541,30,
5667.11,32.4403,31,
6003.92,30.5866,32,
6110.88,30.5866,33,
6589.86,29.737,34,
6825.93,28.1719,35,
6853.03,28.1719,36,
6921.19,27.4495,37,
7135.9,26.7633,38,
7339.32,25.4888,39,
7425.18,25.4888,40,
7643.05,24.8961,41,
7768.3,24.3302,42,
7901.14,23.7896,43,
8175.12,22.7772,44,
8191.05,22.7772,45,
8278.09,22.7772,46,
8480.78,22.3027,47,
95.9837,0,0,
339.171,0,1,
539.275,0,2,
764.759,0,3,
810.31,0,4,
938.273,0,5,
1170.37,0,6,
1398.06,0,7,
1410.9,0,8,
1948.7,0,9,
2208.3,0,10,
2323.84,0,11,
2357.37,0,12,
2417.53,0,13,
2625.67,0,14,
3124.34,0,15,
3396.9,0,16,
3421.18,4.75714,17,
3606.18,4.75714,18,
3613.3,4.75714,19,
3990.99,4.32467,20,
4495.56,3.96428,21,
4594.08,3.80571,22,
4671.3,3.65934,23,
4836.36,3.65934,24,
5102.3,3.39796,25,
5104.13,3.39796,26,
5465.13,3.28079,27,
5559.97,3.17143,28,
5666.25,3.06912,29,
5887.19,2.88312,30,
5889.59,2.88312,31,
6035.32,2.88312,32,
6645.16,2.64286,33,
6697.13,2.57143,34,
6847.49,2.50376,35,
7124.06,2.43956,36,
7349.76,6.89066,37,
7474.03,6.89066,38,
7609.45,16.032,39,
7985.82,16.032,40,
8198.54,26.5023,41,
8418.99,49.7677,42,
8526.6,62.3571,43,
8595.81,72.6519,44,
8638.44,80.3461,45,
674.224,0,0,
905.913,6.6909,1,
992.915,9.34419,2,
1350.1,27.7119,3,
1552.74,34.195,4,
1728.21,43.1042,5,
1832.7,41.086,6,
2157.91,57.1078,7,
2214.5,61.0765,8,
2373.73,58.9404,9,
2402.75,58.9404,10,
2569.54,58.9404,11,
2575.54,58.9404,12,
2983.33,47.8891,13,
3029.47,45.0721,14,
3081.17,45.0721,15,
3732.72,46.4202,16,
3931.14,49.5505,17,
3943.06,49.5505,18,
4137.24,45.2418,19,
4213.38,45.2418,20,
4411.08,46.5668,21,
4494.69,46.9464,22,
4703.37,46.9464,23,
4793.05,50.1857,24,
4965.42,48.4552,25,
5007.51,46.84,26,
5074.82,46.84,27,
5216.14,45.329,28,
5352.44,45.329,29,
5442.34,43.9125,30,
5587.77,43.9125,31,
5852.01,40.1486,32,
5899.97,40.1486,33,
6108.33,39.0333,34,
6552.71,37.9784,35,
6681.53,36.9789,36,
6863.84,36.0308,37,
6905.77,36.0308,38,
7281.25,33.4571,39,
7384.9,32.6791,40,
7403.09,32.6791,41,
7646.45,32.6791,42,
8008.28,31.9364,43,
8401.92,29.8979,44,
8545.3,29.8979,45,
8613.62,29.8979,46,
665.019,0,0,
727.654,0,1,
1055.81,12.424,2,
1151.49,12.424,3,
1156.19,12.424,4,
1240.23,10.6492,5,
1645.99,10.6492,6,
2171.12,8.28269,7,
2414.73,6.77674,8,
2587.33,6.21202,9,
2620.16,8.53297,10,
2838.11,7.92347,11,
2939.14,10.2763,12,
2955.78,10.2763,13,
3021.64,9.634,14,
3482.24,8.11284,15,
3722.06,15.6765,16,
3796.01,22.1354,17,
3814.91,22.1354,18,
3863.95,22.1354,19,
3977.49,21.173,20,
4074.34,20.2908,21,
4182.92,18.73,22,
4416.4,20.79,23,
4600.35,27.4315,24,
4619.96,28.7696,25,
4684.84,28.7696,26,
4763.38,28.7696,27,
4900.15,28.7696,28,
5261.19,27.8106,29,
5599.22,25.2824,30,
6156.99,24.5388,31,
6371.61,27.2976,32,
6426.13,32.6351,33,
6672.75,32.6351,34,
6767.5,39.6622,35,
6904.33,39.6622,36,
