time,delaytime,throughput,
781.716,0,3,
969.051,0,4,
1043.08,0,5,
1459.43,0,6,
1702.22,0,7,
1808.07,0,8,
1975.97,0,9,
2022.6,0,10,
2090.46,0,11,
2328.63,0,12,
2501.39,0,13,
2669.77,0,14,
2927.59,0,15,
3179.8,0,16,
3264.03,0,17,
3590.95,0,18,
3650.67,0,19,
3952.26,0,20,
4124.21,0,21,
4250.91,0,22,
4255.32,0,23,
4705.29,3.10944,24,
4833.65,3.10944,25,
4891.74,3.10944,26,
5048.49,3.00222,27,
5472.15,2.80853,28,
5558.81,2.80853,29,
5857.47,2.72076,30,
6068.97,2.56072,31,
6078.02,2.56072,32,
6267.72,2.41846,33,
6481.02,2.35309,34,
6564.67,2.95706,35,
6667.5,2.88124,36,
6765.46,3.33242,37,
6841.05,3.33242,38,
6846.93,3.33242,39,
7116.05,3.25114,40,
7359.05,3.17373,41,
7669.96,3.02947,42,
7917.24,3.02947,43,
8263.39,5.21527,44,
8314.87,5.74339,45,
8428.16,5.74339,46,
8577.67,8.76318,47,
414.187,0,0,
554.672,0,1,
644.198,0,2,
850.309,0,3,
934.097,0,4,
1090.55,0,5,
1354.29,0,6,
1813,2.93703,7,
1951.53,2.93703,8,
2150.42,2.93703,9,
2222.36,2.69228,10,
2272.29,2.69228,11,
2637.15,2.48518,12,
3059.31,2.30767,13,
3599.93,2.01921,14,
3782.38,1.90043,15,
3879.13,1.90043,16,
4297.04,1.70039,17,
4380.27,1.61537,18,
4474.73,1.53844,19,
4800.32,1.40467,20,
4927.79,1.34614,21,
5131.5,1.34614,22,
5184.61,1.34614,23,
5642.85,1.24259,24,
5895.7,1.15383,25,
6080.12,1.11405,26,
6144.17,3.92695,27,
6426.09,3.92695,28,
6640.04,19.3818,29,
6790.92,29.5442,30,
6799.71,29.5442,31,
6887.96,28.7,32,
6916.22,28.7,33,
7077.02,27.9028,34,
7374.46,26.4343,35,
7400.29,26.4343,36,
7577.32,25.1125,37,
7637.32,25.1125,38,
7801.15,23.9167,39,
7807.46,23.9167,40,
8141.08,23.3605,41,
8217.23,23.3605,42,
8615.66,21.837,43,
110.542,0,0,
240.7,0,1,
642.053,0,2,
1074.84,5.49573,3,
1137.14,5.49573,4,
1276.8,5.49573,5,
1496.64,4.80877,6,
1679.04,4.27446,7,
1900.63,4.27446,8,
2182.57,3.20584,9,
2298.3,2.95924,10,
2456.1,2.95924,11,
2761.55,2.56468,12,
2919.11,2.56468,13,
3191.37,2.26295,14,
3261.4,2.26295,15,
3354.82,2.13723,16,
3594.81,2.13723,17,
3794.57,2.02474,18,
4102.91,1.92351,19,
4344.87,1.83191,20,
4693,1.67261,21,
4708.25,1.67261,22,
5359.45,1.53881,23,
5461.79,1.47962,24,
5853.9,1.42482,25,
6018.06,1.37393,26,
6042.22,1.37393,27,
6470.99,1.28234,28,
6519.17,1.24097,29,
6642.77,1.20219,30,
7015.83,1.20219,31,
7350.56,1.13147,32,
7400.63,1.13147,33,
