time,delaytime,throughput,
148.427,0,0,
214.271,0,1,
321.385,0,2,
475.259,0,3,
967.284,0,4,
1120.76,0,5,
1238.3,0,6,
1584.49,0,7,
1669.69,0,8,
2106.82,0,9,
2196,0,10,
2361.28,0,11,
2778.85,0,12,
2980.99,0,13,
3308.19,0,14,
3381.1,0,15,
3387.66,0,16,
3741.89,0,17,
4063.42,0,18,
4236.54,0,19,
4298.89,0,20,
4645.9,0,21,
4703.73,5.84529,22,
4793.85,5.84529,23,
4892.82,5.6288,24,
4954.92,5.6288,25,
5209.68,5.42777,26,
5318.49,5.42777,27,
5486.21,5.06592,28,
5599.01,5.06592,29,
5776.46,4.7493,30,
5832.69,4.7493,31,
5966.99,4.60538,32,
6150.65,4.34222,33,
6214.37,4.34222,34,
6479.82,4.2216,35,
6881.25,4.1075,36,
7614.22,3.70677,37,
7719.12,3.70677,38,
7760,3.70677,39,
8042.72,6.84486,40,
8061.18,6.84486,41,
8264.75,10.5745,42,
8374.96,12.2093,43,
8391.07,13.7377,44,
8467.02,13.4515,45,
8572.69,13.4515,46,
227.876,0,0,
265.766,0,1,
702.886,0,2,
1018.43,0,3,
1195.16,0,4,
1334.71,0,5,
1666.44,0,6,
1743.7,0,7,
1926.03,0,8,
2037.03,0,9,
2120.23,0,10,
2586.88,4.77514,11,
2788.3,7.61118,12,
2859.48,7.61118,13,
2975.66,12,14,
2990.79,12,15,
3029.75,12,16,
3325.81,11.3333,17,
3516.2,10.7368,18,
3801.44,10.2,19,
4131.54,9.27271,20,
4209.55,9.27271,21,
4513.58,8.49999,22,
4635.07,8.15999,23,
4727.24,8.15999,24,
5007.93,7.55555,25,
5233.7,7.55555,26,
5375.8,7.2857,27,
5568.7,6.79999,28,
5698.61,6.79999,29,
6369.88,6.58064,30,
6662.12,6.37499,31,
6895.56,5.82856,32,
7059.48,5.82856,33,
7115.64,5.66666,34,
7169.89,5.51351,35,
7432.28,5.36841,36,
7572.96,5.36841,37,
7904.92,4.9756,38,
8110.65,4.9756,39,
